mesh_7,mesh_code,NL2017count,NL2017sum,NL2017mean
"3036501","30365022",171,0,0
"3036502","30365027",170,0,0
"3036503","30365072",166,0,0
"3036504","30365077",168,0,0
"3622571","36225722",,,
"3622572","36225727",,,
"3622573","36225772",,,
"3622574","36225777",,,
"3623501","36235022",,,
"3623502","36235027",,,
"3623503","36235072",,,
"3623504","36235077",,,
"3623241","36232422",,,
"3623242","36232427",,,
"3623243","36232472",,,
"3623244","36232477",,,
"3623351","36233522",,,
"3623352","36233527",,,
"3623353","36233572",,,
"3623354","36233577",,,
"3623451","36234522",,,
"3623452","36234527",,,
"3623453","36234572",,,
"3623454","36234577",,,
"3623061","36230622",,,
"3623062","36230627",,,
"3623063","36230672",,,
"3623064","36230677",,,
"3623361","36233622",,,
"3623362","36233627",,,
"3623363","36233672",,,
"3623364","36233677",,,
"3623461","36234622",,,
"3623462","36234627",,,
"3623463","36234672",,,
"3623464","36234677",,,
"3623561","36235622",,,
"3623562","36235627",,,
"3623563","36235672",,,
"3623564","36235677",,,
"3623271","36232722",,,
"3623272","36232727",,,
"3623273","36232772",,,
"3623274","36232777",,,
"3623371","36233722",,,
"3623372","36233727",,,
"3623373","36233772",,,
"3623374","36233777",,,
"3623471","36234722",,,
"3623472","36234727",,,
"3623473","36234772",,,
"3623474","36234777",,,
"3624201","36242022",,,
"3624202","36242027",,,
"3624203","36242072",,,
"3624204","36242077",,,
"3624301","36243022",,,
"3624302","36243027",,,
"3624303","36243072",,,
"3624304","36243077",,,
"3624401","36244022",,,
"3624402","36244027",,,
"3624403","36244072",,,
"3624404","36244077",,,
"3624501","36245022",,,
"3624502","36245027",,,
"3624503","36245072",,,
"3624504","36245077",,,
"3624311","36243122",,,
"3624312","36243127",,,
"3624313","36243172",,,
"3624314","36243177",,,
"3624411","36244122",,,
"3624412","36244127",,,
"3624413","36244172",,,
"3624414","36244177",,,
"3624511","36245122",,,
"3624512","36245127",,,
"3624513","36245172",,,
"3624514","36245177",,,
"3624611","36246122",,,
"3624612","36246127",,,
"3624613","36246172",,,
"3624614","36246177",,,
"3624421","36244222",,,
"3624422","36244227",,,
"3624423","36244272",,,
"3624424","36244277",,,
"3624521","36245222",,,
"3624522","36245227",,,
"3624523","36245272",,,
"3624524","36245277",,,
"3624621","36246222",,,
"3624622","36246227",,,
"3624623","36246272",,,
"3624624","36246277",,,
"3624721","36247222",,,
"3624722","36247227",,,
"3624723","36247272",,,
"3624724","36247277",,,
"3624751","36247522",,,
"3624752","36247527",,,
"3624753","36247572",,,
"3624754","36247577",,,
